TIMESTAMP,VOLATILITY,FUTURE,RELATIVE_EXPIRY,DAYS_TO_EXPIRY
2014-01-02 00:20:24.732409,0.140914,233.35,2,38.75
2014-01-02 00:20:24.732423,0.15041300000000002,232.69,3,59.75
2014-01-02 00:20:24.732437,0.167706,228.59,4,119.75
2014-01-02 00:20:24.732451,0.17491900000000002,227.12,5,183.75
2014-01-02 00:20:24.732464,0.179574,226.92,6,245.75
2014-01-02 00:20:24.732478,0.183,222.02,7,426.75
2014-01-02 00:20:24.732492,0.1849,221.02,8,610.75
2014-01-02 00:20:24.732506,0.185,217.02,9,792.75
2014-01-02 00:20:24.732520,0.185,215.02,10,975.75
2014-01-02 00:20:24.732534,0.185,233.21,11,1157.75
2014-01-02 00:22:24.979969,0.129554,233.21,1,19.75
2014-01-02 00:22:24.979983,0.140914,233.35,2,38.75
2014-01-02 00:22:24.979997,0.15041300000000002,232.69,3,59.75
2014-01-02 00:22:24.980011,0.167706,228.59,4,119.75
2014-01-02 00:22:24.980026,0.17491900000000002,227.12,5,183.75
2014-01-02 00:22:24.980039,0.179574,226.92,6,245.75
2014-01-02 00:22:24.980054,0.183,222.02,7,426.75
2014-01-02 00:22:24.980068,0.1849,221.02,8,610.75
2014-01-02 00:22:24.980082,0.185,217.02,9,792.75
2014-01-02 00:22:24.980096,0.185,215.02,10,975.75
2014-01-02 00:22:24.980111,0.185,233.21,11,1157.75
2014-01-02 00:24:25.228539,0.129554,233.21,1,19.75
2014-01-02 00:24:25.228553,0.140914,233.35,2,38.75
2014-01-02 00:24:25.228567,0.15041300000000002,232.69,3,59.75
2014-01-02 00:24:25.228581,0.167706,228.59,4,119.75
2014-01-02 00:24:25.228595,0.17491900000000002,227.12,5,183.75
2014-01-02 00:24:25.228609,0.179574,226.92,6,245.75
2014-01-02 00:24:25.228623,0.183,222.02,7,426.75
2014-01-02 00:24:25.228637,0.1849,221.02,8,610.75
2014-01-02 00:24:25.228651,0.185,217.02,9,792.75
2014-01-02 00:24:25.228665,0.185,215.02,10,975.75
2014-01-02 00:24:25.228679,0.185,233.21,11,1157.75
2014-01-02 00:24:34.246756,0.128854,233.21,1,19.75
2014-01-02 00:24:37.252975,0.129554,233.21,1,19.75
2014-01-02 00:25:10.321062,0.129554,233.21,1,19.75
2014-01-02 00:25:14.330279,0.129554,233.21,1,19.75
2014-01-02 00:25:17.336509,0.129554,233.21,1,19.75
2014-01-02 00:26:24.475096,0.129554,233.21,1,19.75
2014-01-02 00:26:24.475110,0.140914,233.35,2,38.75
2014-01-02 00:26:24.475124,0.15041300000000002,232.69,3,59.75
2014-01-02 00:26:24.475137,0.167706,228.59,4,119.75
2014-01-02 00:26:24.475151,0.17491900000000002,227.12,5,183.75
2014-01-02 00:26:24.475164,0.179574,226.92,6,245.75
2014-01-02 00:26:24.475179,0.183,222.02,7,426.75
2014-01-02 00:26:24.475192,0.1849,221.02,8,610.75
2014-01-02 00:26:24.475206,0.185,217.02,9,792.75
2014-01-02 00:26:24.475220,0.185,215.02,10,975.75
2014-01-02 00:26:24.475234,0.185,233.21,11,1157.75
2014-01-02 00:28:24.721659,0.129554,233.21,1,19.75
2014-01-02 00:28:24.721673,0.140914,233.35,2,38.75
2014-01-02 00:28:24.721687,0.15041300000000002,232.69,3,59.75
2014-01-02 00:28:24.721701,0.167706,228.59,4,119.75
2014-01-02 00:28:24.721715,0.17491900000000002,227.12,5,183.75
2014-01-02 00:28:24.721729,0.179574,226.92,6,245.75
2014-01-02 00:28:24.721743,0.183,222.02,7,426.75
2014-01-02 00:28:24.721758,0.1849,221.02,8,610.75
2014-01-02 00:28:24.721772,0.185,217.02,9,792.75
2014-01-02 00:28:24.721786,0.185,215.02,10,975.75
2014-01-02 00:28:24.721800,0.185,233.21,11,1157.75
2014-01-02 00:30:24.969200,0.129554,233.21,1,19.75
2014-01-02 00:30:24.969215,0.140914,233.35,2,38.75
2014-01-02 00:30:24.969228,0.15041300000000002,232.69,3,59.75
2014-01-02 00:30:24.969242,0.167706,228.59,4,119.75
2014-01-02 00:30:24.969256,0.17491900000000002,227.12,5,183.75
2014-01-02 00:30:24.969270,0.179574,226.92,6,245.75
2014-01-02 00:30:24.969283,0.183,222.02,7,426.75
2014-01-02 00:30:24.969297,0.1849,221.02,8,610.75
2014-01-02 00:30:24.969311,0.185,217.02,9,792.75
2014-01-02 00:30:24.969325,0.185,215.02,10,975.75
2014-01-02 00:30:24.969339,0.185,233.21,11,1157.75
2014-01-02 00:32:25.216817,0.129554,233.21,1,19.75
2014-01-02 00:32:25.216831,0.140914,233.35,2,38.75
2014-01-02 00:32:25.216845,0.15041300000000002,232.69,3,59.75
2014-01-02 00:32:25.216859,0.167706,228.59,4,119.75
2014-01-02 00:32:25.216873,0.17491900000000002,227.12,5,183.75
2014-01-02 00:32:25.216887,0.179574,226.92,6,245.75
2014-01-02 00:32:25.216901,0.183,222.02,7,426.75
2014-01-02 00:32:25.216915,0.1849,221.02,8,610.75
2014-01-02 00:32:25.216929,0.185,217.02,9,792.75
2014-01-02 00:32:25.216943,0.185,215.02,10,975.75
2014-01-02 00:32:25.216957,0.185,233.21,11,1157.75
2014-01-02 00:34:25.467413,0.129554,233.21,1,19.75
2014-01-02 00:34:25.467427,0.140914,233.35,2,38.75
2014-01-02 00:34:25.467441,0.15041300000000002,232.69,3,59.75
2014-01-02 00:34:25.467454,0.167706,228.59,4,119.75
2014-01-02 00:34:25.467469,0.17491900000000002,227.12,5,183.75
2014-01-02 00:34:25.467482,0.179574,226.92,6,245.75
2014-01-02 00:34:25.467500,0.183,222.02,7,426.75
2014-01-02 00:34:25.467514,0.1849,221.02,8,610.75
2014-01-02 00:34:25.467528,0.185,217.02,9,792.75
2014-01-02 00:34:25.467542,0.185,215.02,10,975.75
2014-01-02 00:34:25.467556,0.185,233.21,11,1157.75
2014-01-02 00:36:25.714948,0.129554,233.21,1,19.75
2014-01-02 00:36:25.714962,0.140914,233.35,2,38.75
2014-01-02 00:36:25.714976,0.15041300000000002,232.69,3,59.75
2014-01-02 00:36:25.714990,0.167706,228.59,4,119.75
2014-01-02 00:36:25.715004,0.17491900000000002,227.12,5,183.75
2014-01-02 00:36:25.715017,0.179574,226.92,6,245.75
2014-01-02 00:36:25.715031,0.183,222.02,7,426.75
2014-01-02 00:36:25.715045,0.1849,221.02,8,610.75
2014-01-02 00:36:25.715059,0.185,217.02,9,792.75
2014-01-02 00:36:25.715073,0.185,215.02,10,975.75
2014-01-02 00:36:25.715087,0.185,233.21,11,1157.75
2014-01-02 00:38:25.962539,0.129554,233.21,1,19.75
2014-01-02 00:38:25.962553,0.140914,233.35,2,38.75
2014-01-02 00:38:25.962567,0.15041300000000002,232.69,3,59.75
2014-01-02 00:38:25.962581,0.167706,228.59,4,119.75
2014-01-02 00:38:25.962595,0.17491900000000002,227.12,5,183.75
2014-01-02 00:38:25.962608,0.179574,226.92,6,245.75
2014-01-02 00:38:25.962622,0.183,222.02,7,426.75
2014-01-02 00:38:25.962635,0.1849,221.02,8,610.75
2014-01-02 00:38:25.962649,0.185,217.02,9,792.75
2014-01-02 00:38:25.962663,0.185,215.02,10,975.75
2014-01-02 00:38:25.962677,0.185,233.21,11,1157.75
2014-01-02 00:40:26.213124,0.129554,233.21,1,19.75
2014-01-02 00:40:26.213138,0.140914,233.35,2,38.75
2014-01-02 00:40:26.213152,0.15041300000000002,232.69,3,59.75
2014-01-02 00:40:26.213165,0.167706,228.59,4,119.75
2014-01-02 00:40:26.213179,0.17491900000000002,227.12,5,183.75
2014-01-02 00:40:26.213192,0.179574,226.92,6,245.75
2014-01-02 00:40:26.213206,0.183,222.02,7,426.75
2014-01-02 00:40:26.213220,0.1849,221.02,8,610.75
2014-01-02 00:40:26.213234,0.185,217.02,9,792.75
2014-01-02 00:40:26.213247,0.185,215.02,10,975.75
2014-01-02 00:40:26.213261,0.185,233.21,11,1157.75
2014-01-02 00:42:26.460719,0.129554,233.21,1,19.75
2014-01-02 00:42:26.460733,0.140914,233.35,2,38.75
2014-01-02 00:42:26.460746,0.15041300000000002,232.69,3,59.75
2014-01-02 00:42:26.460760,0.167706,228.59,4,119.75
2014-01-02 00:42:26.460774,0.17491900000000002,227.12,5,183.75
2014-01-02 00:42:26.460788,0.179574,226.92,6,245.75
2014-01-02 00:42:26.460802,0.183,222.02,7,426.75
2014-01-02 00:42:26.460816,0.1849,221.02,8,610.75
2014-01-02 00:42:26.460830,0.185,217.02,9,792.75
2014-01-02 00:42:26.460844,0.185,215.02,10,975.75
2014-01-02 00:42:26.460858,0.185,233.21,11,1157.75
2014-01-02 00:44:26.708276,0.129554,233.21,1,19.75
2014-01-02 00:44:26.708289,0.140914,233.35,2,38.75
2014-01-02 00:44:26.708303,0.15041300000000002,232.69,3,59.75
2014-01-02 00:44:26.708317,0.167706,228.59,4,119.75
2014-01-02 00:44:26.708331,0.17491900000000002,227.12,5,183.75
2014-01-02 00:44:26.708344,0.179574,226.92,6,245.75
2014-01-02 00:44:26.708357,0.183,222.02,7,426.75
2014-01-02 00:44:26.708371,0.1849,221.02,8,610.75
2014-01-02 00:44:26.708385,0.185,217.02,9,792.75
2014-01-02 00:44:26.708398,0.185,215.02,10,975.75
2014-01-02 00:44:26.708413,0.185,233.21,11,1157.75
2014-01-02 00:46:25.954785,0.129554,234.89,1,19.75
2014-01-02 00:46:25.954799,0.140914,235.03,2,38.75
2014-01-02 00:46:25.954813,0.15041300000000002,234.37,3,59.75
2014-01-02 00:46:25.954827,0.167706,230.27,4,119.75
2014-01-02 00:46:25.954841,0.17491900000000002,228.8,5,183.75
2014-01-02 00:46:25.954855,0.179574,228.6,6,245.75
2014-01-02 00:46:25.954869,0.183,223.7,7,426.75
2014-01-02 00:46:25.954884,0.1849,222.7,8,610.75
2014-01-02 00:46:25.954898,0.185,218.7,9,792.75
2014-01-02 00:46:25.954912,0.185,216.7,10,975.75
2014-01-02 00:46:25.954927,0.185,234.89,11,1157.75
2014-01-02 00:48:26.207397,0.129554,234.98,1,19.75
2014-01-02 00:48:26.207414,0.140914,235.12,2,38.75
2014-01-02 00:48:26.207428,0.15041300000000002,234.46,3,59.75
2014-01-02 00:48:26.207442,0.167706,230.36,4,119.75
2014-01-02 00:48:26.207456,0.17491900000000002,228.89,5,183.75
2014-01-02 00:48:26.207470,0.179574,228.69,6,245.75
2014-01-02 00:48:26.207484,0.183,223.79,7,426.75
2014-01-02 00:48:26.207498,0.1849,222.79,8,610.75
2014-01-02 00:48:26.207512,0.185,218.79,9,792.75
2014-01-02 00:48:26.207526,0.185,216.79,10,975.75
2014-01-02 00:48:26.207540,0.185,234.98,11,1157.75
2014-01-02 00:50:26.454955,0.129554,234.89,1,19.75
2014-01-02 00:50:26.454969,0.140914,235.03,2,38.75
2014-01-02 00:50:26.454983,0.15041300000000002,234.37,3,59.75
2014-01-02 00:50:26.454998,0.167706,230.27,4,119.75
2014-01-02 00:50:26.455012,0.17491900000000002,228.8,5,183.75
2014-01-02 00:50:26.455026,0.179574,228.6,6,245.75
2014-01-02 00:50:26.455040,0.183,223.7,7,426.75
2014-01-02 00:50:26.455054,0.1849,222.7,8,610.75
2014-01-02 00:50:26.455068,0.185,218.7,9,792.75
2014-01-02 00:50:26.455086,0.185,216.7,10,975.75
2014-01-02 00:50:26.455100,0.185,234.89,11,1157.75
2014-01-02 00:50:49.502006,0.129954,234.89,1,19.75
2014-01-02 00:50:53.510289,0.129554,234.89,1,19.75
2014-01-02 00:52:26.704535,0.129554,234.89,1,19.75
2014-01-02 00:52:26.704549,0.140914,235.03,2,38.75
2014-01-02 00:52:26.704563,0.15041300000000002,234.37,3,59.75
2014-01-02 00:52:26.704577,0.167706,230.27,4,119.75
2014-01-02 00:52:26.704591,0.17491900000000002,228.8,5,183.75
2014-01-02 00:52:26.704605,0.179574,228.6,6,245.75
2014-01-02 00:52:26.704619,0.183,223.7,7,426.75
2014-01-02 00:52:26.704634,0.1849,222.7,8,610.75
2014-01-02 00:52:26.704648,0.185,218.7,9,792.75
2014-01-02 00:52:26.704662,0.185,216.7,10,975.75
2014-01-02 00:52:26.704677,0.185,234.89,11,1157.75
2014-01-02 00:54:26.954135,0.129554,234.89,1,19.75
2014-01-02 00:54:26.954150,0.140914,235.03,2,38.75
2014-01-02 00:54:26.954164,0.15041300000000002,234.37,3,59.75
2014-01-02 00:54:26.954178,0.167706,230.27,4,119.75
2014-01-02 00:54:26.954193,0.17491900000000002,228.8,5,183.75
2014-01-02 00:54:26.954208,0.179574,228.6,6,245.75
2014-01-02 00:54:26.954222,0.183,223.7,7,426.75
2014-01-02 00:54:26.954237,0.1849,222.7,8,610.75
2014-01-02 00:54:26.954251,0.185,218.7,9,792.75
2014-01-02 00:54:26.954266,0.185,216.7,10,975.75
2014-01-02 00:54:26.954280,0.185,234.89,11,1157.75
2014-01-02 00:56:27.199729,0.129554,234.89,1,19.75
2014-01-02 00:56:27.199744,0.140914,235.03,2,38.75
2014-01-02 00:56:27.199759,0.15041300000000002,234.37,3,59.75
2014-01-02 00:56:27.199773,0.167706,230.27,4,119.75
2014-01-02 00:56:27.199788,0.17491900000000002,228.8,5,183.75
2014-01-02 00:56:27.199803,0.179574,228.6,6,245.75
2014-01-02 00:56:27.199818,0.183,223.7,7,426.75
2014-01-02 00:56:27.199833,0.1849,222.7,8,610.75
2014-01-02 00:56:27.199848,0.185,218.7,9,792.75
2014-01-02 00:56:27.199863,0.185,216.7,10,975.75
2014-01-02 00:56:27.199878,0.185,234.89,11,1157.75
2014-01-02 00:58:27.445305,0.129554,234.88,1,19.75
2014-01-02 00:58:27.445320,0.140914,235.02,2,38.75
2014-01-02 00:58:27.445335,0.15041300000000002,234.36,3,59.75
2014-01-02 00:58:27.445351,0.167706,230.26,4,119.75
2014-01-02 00:58:27.445365,0.17491900000000002,228.79,5,183.75
2014-01-02 00:58:27.445380,0.179574,228.59,6,245.75
2014-01-02 00:58:27.445395,0.183,223.69,7,426.75
2014-01-02 00:58:27.445410,0.1849,222.69,8,610.75
2014-01-02 00:58:27.445425,0.185,218.69,9,792.75
2014-01-02 00:58:27.445440,0.185,216.69,10,975.75
2014-01-02 00:58:27.445454,0.185,234.88,11,1157.75
2014-01-02 00:59:05.524261,0.129954,234.5,1,19.75
2014-01-02 00:59:19.552205,0.130354,234.5,1,19.75
2014-01-02 00:59:26.566590,0.129554,234.5,1,19.75
2014-01-02 00:59:36.587219,0.129954,234.5,1,19.75
2014-01-02 00:59:42.598631,0.130354,234.5,1,19.75
2014-01-02 00:59:47.608947,0.129554,234.5,1,19.75
2014-01-02 01:00:27.689821,0.129554,234.5,1,19.75
2014-01-02 01:00:27.689835,0.140914,234.64,2,38.75
2014-01-02 01:00:27.689849,0.15041300000000002,233.98,3,59.75
2014-01-02 01:00:27.689862,0.167706,229.88,4,119.75
2014-01-02 01:00:27.689876,0.17491900000000002,228.41,5,183.75
2014-01-02 01:00:27.689890,0.179574,228.21,6,245.75
2014-01-02 01:00:27.689903,0.183,223.31,7,426.75
2014-01-02 01:00:27.689916,0.1849,222.31,8,610.75
2014-01-02 01:00:27.689930,0.185,218.31,9,792.75
2014-01-02 01:00:27.689944,0.185,216.31,10,975.75
2014-01-02 01:00:27.689958,0.185,234.5,11,1157.75
2014-01-02 01:02:27.932375,0.129554,234.48,1,19.75
2014-01-02 01:02:27.932389,0.140914,234.62,2,38.75
2014-01-02 01:02:27.932403,0.15041300000000002,233.96,3,59.75
2014-01-02 01:02:27.932416,0.167706,229.86,4,119.75
2014-01-02 01:02:27.932430,0.17491900000000002,228.39,5,183.75
2014-01-02 01:02:27.932443,0.179574,228.19,6,245.75
2014-01-02 01:02:27.932457,0.183,223.29,7,426.75
2014-01-02 01:02:27.932471,0.1849,222.29,8,610.75
2014-01-02 01:02:27.932484,0.185,218.29,9,792.75
2014-01-02 01:02:27.932498,0.185,216.29,10,975.75
2014-01-02 01:02:27.932512,0.185,234.48,11,1157.75
2014-01-02 01:04:28.182982,0.129554,234.0,1,19.75
2014-01-02 01:04:28.182996,0.140914,234.14,2,38.75
2014-01-02 01:04:28.183013,0.15041300000000002,233.48,3,59.75
2014-01-02 01:04:28.183027,0.167706,229.38,4,119.75
2014-01-02 01:04:28.183041,0.17491900000000002,227.91,5,183.75
2014-01-02 01:04:28.183054,0.179574,227.71,6,245.75
2014-01-02 01:04:28.183069,0.183,222.81,7,426.75
2014-01-02 01:04:28.183082,0.1849,221.81,8,610.75
2014-01-02 01:04:28.183096,0.185,217.81,9,792.75
2014-01-02 01:04:28.183110,0.185,215.81,10,975.75
2014-01-02 01:04:28.183124,0.185,234.0,11,1157.75
2014-01-02 01:06:28.435596,0.129554,234.11,1,19.35
2014-01-02 01:06:28.435610,0.140914,234.25,2,38.35
2014-01-02 01:06:28.435624,0.15041300000000002,233.59,3,59.35
2014-01-02 01:06:28.435637,0.167706,229.49,4,119.35
2014-01-02 01:06:28.435652,0.17491900000000002,228.02,5,183.35
2014-01-02 01:06:28.435665,0.179574,227.82,6,245.35
2014-01-02 01:06:28.435679,0.183,222.92,7,426.35
2014-01-02 01:06:28.435693,0.1849,221.92,8,610.35
2014-01-02 01:06:28.435710,0.185,217.92,9,792.35
2014-01-02 01:06:28.435724,0.185,215.92,10,975.35
2014-01-02 01:06:28.435738,0.185,234.11,11,1157.35
2014-01-02 01:08:27.679094,0.129554,234.23,1,19.35
2014-01-02 01:08:27.679108,0.140914,234.37,2,38.35
2014-01-02 01:08:27.679122,0.15041300000000002,233.71,3,59.35
2014-01-02 01:08:27.679137,0.167706,229.61,4,119.35
2014-01-02 01:08:27.679151,0.17491900000000002,228.14,5,183.35
2014-01-02 01:08:27.679165,0.179574,227.94,6,245.35
2014-01-02 01:08:27.679179,0.183,223.04,7,426.35
2014-01-02 01:08:27.679193,0.1849,222.04,8,610.35
2014-01-02 01:08:27.679207,0.185,218.04,9,792.35
2014-01-02 01:08:27.679221,0.185,216.04,10,975.35
2014-01-02 01:08:27.679235,0.185,234.23,11,1157.35
2014-01-02 01:10:27.922622,0.129554,233.78,1,19.35
2014-01-02 01:10:27.922635,0.140914,233.92,2,38.35
2014-01-02 01:10:27.922649,0.15041300000000002,233.26,3,59.35
2014-01-02 01:10:27.922662,0.167706,229.16,4,119.35
2014-01-02 01:10:27.922676,0.17491900000000002,227.69,5,183.35
2014-01-02 01:10:27.922690,0.179574,227.49,6,245.35
2014-01-02 01:10:27.922703,0.183,222.59,7,426.35
2014-01-02 01:10:27.922716,0.1849,221.59,8,610.35
2014-01-02 01:10:27.922730,0.185,217.59,9,792.35
2014-01-02 01:10:27.922743,0.185,215.59,10,975.35
2014-01-02 01:10:27.922757,0.185,233.78,11,1157.35
2014-01-02 01:12:28.172791,0.129554,233.89,1,19.35
2014-01-02 01:12:28.172805,0.140914,234.03,2,38.35
2014-01-02 01:12:28.172819,0.15041300000000002,233.37,3,59.35
2014-01-02 01:12:28.172836,0.167706,229.27,4,119.35
2014-01-02 01:12:28.172851,0.17491900000000002,227.8,5,183.35
2014-01-02 01:12:28.172866,0.179574,227.6,6,245.35
2014-01-02 01:12:28.172882,0.183,222.7,7,426.35
2014-01-02 01:12:28.172896,0.1849,221.7,8,610.35
2014-01-02 01:12:28.172910,0.185,217.7,9,792.35
2014-01-02 01:12:28.172925,0.185,215.7,10,975.35
2014-01-02 01:12:28.172944,0.185,233.89,11,1157.35
2014-01-02 01:14:28.418786,0.129554,234.1,1,19.35
2014-01-02 01:14:28.418800,0.140914,234.24,2,38.35
2014-01-02 01:14:28.418814,0.15041300000000002,233.58,3,59.35
2014-01-02 01:14:28.418827,0.167706,229.48,4,119.35
2014-01-02 01:14:28.418841,0.17491900000000002,228.01,5,183.35
2014-01-02 01:14:28.418854,0.179574,227.81,6,245.35
2014-01-02 01:14:28.418868,0.183,222.91,7,426.35
2014-01-02 01:14:28.418881,0.1849,221.91,8,610.35
2014-01-02 01:14:28.418895,0.185,217.91,9,792.35
2014-01-02 01:14:28.418909,0.185,215.91,10,975.35
2014-01-02 01:14:28.418922,0.185,234.1,11,1157.35
2014-01-02 01:16:06.619631,0.129154,233.625,1,19.35
2014-01-02 01:16:09.625820,0.128754,233.685,1,19.35
2014-01-02 01:16:16.640227,0.140414,233.815,2,38.35
2014-01-02 01:16:23.653700,0.14991300000000002,233.255,3,59.35
2014-01-02 01:16:24.655727,0.167206,229.155,4,119.35
2014-01-02 01:16:25.657823,0.17441900000000002,227.685,5,183.35
2014-01-02 01:16:25.657845,0.179074,227.485,6,245.35
2014-01-02 01:16:28.664326,0.128754,233.795,1,19.35
